date,time,open,high,low,close,something
2016.07.12,9:40,1.11068,1.11095,1.11059,1.11081,891
2016.07.12,9:45,1.11082,1.11099,1.11059,1.11097,677
2016.07.12,9:50,1.11097,1.111,1.11045,1.11049,738
2016.07.12,9:55,1.11048,1.11082,1.11045,1.11054,727
2016.07.12,10:00,1.11057,1.11082,1.11038,1.11058,578
2016.07.12,10:05,1.11058,1.11105,1.11058,1.111,568
2016.07.12,10:10,1.111,1.11105,1.11084,1.11095,507
2016.07.12,10:15,1.11095,1.11104,1.11077,1.11096,429
2016.07.12,10:20,1.11096,1.11108,1.11089,1.1109,529
2016.07.12,10:25,1.11091,1.11142,1.11085,1.11112,546
2016.07.12,10:30,1.11113,1.1112,1.11058,1.11069,549
2016.07.12,10:35,1.1107,1.11086,1.11056,1.1106,478
2016.07.12,10:40,1.11061,1.11068,1.11009,1.1101,435
2016.07.12,10:45,1.11011,1.11023,1.10996,1.10996,450
2016.07.12,10:50,1.10996,1.11013,1.10967,1.10971,660
2016.07.12,10:55,1.10972,1.10974,1.10915,1.10924,631
2016.07.12,11:00,1.10923,1.10931,1.10869,1.10884,737
2016.07.12,11:05,1.10884,1.10919,1.10875,1.10876,646
2016.07.12,11:10,1.10876,1.1088,1.10829,1.10829,631
2016.07.12,11:15,1.1083,1.10863,1.10805,1.10813,623
2016.07.12,11:20,1.10814,1.10838,1.10798,1.10831,627
2016.07.12,11:25,1.10831,1.10871,1.10826,1.1083,604
2016.07.12,11:30,1.10831,1.10841,1.10819,1.10828,498
2016.07.12,11:35,1.10829,1.10862,1.10798,1.10799,474
2016.07.12,11:40,1.10799,1.1088,1.10799,1.10865,551
2016.07.12,11:45,1.10866,1.10906,1.10857,1.10904,640
2016.07.12,11:50,1.10904,1.10952,1.10904,1.10936,678
2016.07.12,11:55,1.10935,1.10947,1.10913,1.10922,584
2016.07.12,12:00,1.10922,1.10944,1.10904,1.1092,742
2016.07.12,12:05,1.10919,1.10933,1.10893,1.10893,686
2016.07.12,12:10,1.10893,1.10936,1.10889,1.10915,816
2016.07.12,12:15,1.10917,1.11001,1.10907,1.10988,1002
2016.07.12,12:20,1.10988,1.10999,1.10969,1.10982,697
2016.07.12,12:25,1.10982,1.11001,1.10969,1.10979,502
2016.07.12,12:30,1.10979,1.1103,1.10976,1.10989,612
2016.07.12,12:35,1.10988,1.11001,1.10939,1.10954,654
2016.07.12,12:40,1.10954,1.10976,1.10937,1.10959,608
2016.07.12,12:45,1.10959,1.10996,1.10958,1.10967,637
2016.07.12,12:50,1.10968,1.11017,1.10962,1.10978,620
2016.07.12,12:55,1.10979,1.11054,1.10971,1.11017,897
2016.07.12,13:00,1.11013,1.11024,1.10938,1.10965,782
2016.07.12,13:05,1.10964,1.10969,1.10865,1.10866,922
2016.07.12,13:10,1.10867,1.1091,1.10865,1.109,678
2016.07.12,13:15,1.109,1.109,1.10844,1.10857,773
2016.07.12,13:20,1.10857,1.10871,1.10839,1.10857,648
2016.07.12,13:25,1.10858,1.10872,1.1085,1.10863,584
2016.07.12,13:30,1.10864,1.10872,1.10843,1.10867,800
2016.07.12,13:35,1.10868,1.10875,1.1082,1.10859,921
2016.07.12,13:40,1.1086,1.10915,1.10857,1.10898,877
2016.07.12,13:45,1.10898,1.10941,1.10881,1.10891,782
2016.07.12,13:50,1.10892,1.10944,1.10877,1.10944,919
2016.07.12,13:55,1.10944,1.10979,1.10916,1.10924,920
2016.07.12,14:00,1.10924,1.10962,1.10888,1.10949,805
2016.07.12,14:05,1.10949,1.10949,1.10873,1.10884,840
2016.07.12,14:10,1.10882,1.1089,1.10789,1.10852,811
2016.07.12,14:15,1.10852,1.10867,1.10793,1.10793,724
2016.07.12,14:20,1.10795,1.1091,1.10789,1.10906,689
2016.07.12,14:25,1.10906,1.10907,1.10833,1.10882,923
2016.07.12,14:30,1.10881,1.10908,1.10862,1.10891,788
2016.07.12,14:35,1.10891,1.10909,1.10871,1.10906,720
2016.07.12,14:40,1.10906,1.10935,1.10859,1.10934,754
2016.07.12,14:45,1.10933,1.10984,1.10933,1.10942,704
2016.07.12,14:50,1.10944,1.10947,1.10833,1.10844,701
2016.07.12,14:55,1.10844,1.10858,1.10646,1.10717,1239
2016.07.12,15:00,1.1072,1.1072,1.10626,1.10655,1023
2016.07.12,15:05,1.10655,1.10679,1.1063,1.1067,751
2016.07.12,15:10,1.1067,1.107,1.10655,1.10694,640
2016.07.12,15:15,1.10694,1.107,1.1063,1.1068,812
2016.07.12,15:20,1.10675,1.10741,1.10673,1.10737,818
2016.07.12,15:25,1.10738,1.10762,1.10653,1.10654,886
2016.07.12,15:30,1.10654,1.10671,1.10609,1.10631,826
2016.07.12,15:35,1.10631,1.10684,1.10623,1.10662,729
2016.07.12,15:40,1.10662,1.10735,1.10661,1.10723,686
2016.07.12,15:45,1.10723,1.10727,1.10678,1.10706,722
2016.07.12,15:50,1.10705,1.10726,1.10675,1.10725,509
2016.07.12,15:55,1.10725,1.10759,1.10717,1.10726,620
2016.07.12,16:00,1.10726,1.10774,1.10725,1.10732,548
2016.07.12,16:05,1.10732,1.10775,1.1072,1.10761,525
2016.07.12,16:10,1.10761,1.10768,1.10735,1.10752,324
2016.07.12,16:15,1.10752,1.10807,1.10752,1.10792,381
2016.07.12,16:20,1.10792,1.10872,1.10779,1.10871,556
2016.07.12,16:25,1.10871,1.10898,1.1085,1.10855,746
2016.07.12,16:30,1.10856,1.10917,1.10855,1.10895,655
2016.07.12,16:35,1.10895,1.10913,1.10854,1.10878,499
2016.07.12,16:40,1.10879,1.10879,1.10824,1.10829,434
2016.07.12,16:45,1.1083,1.10857,1.10827,1.10841,415
2016.07.12,16:50,1.10841,1.10895,1.10835,1.10883,453
2016.07.12,16:55,1.10882,1.10915,1.10865,1.10913,527
2016.07.12,17:00,1.10912,1.10918,1.10834,1.10847,621
2016.07.12,17:05,1.10846,1.10857,1.10802,1.10802,473
2016.07.12,17:10,1.10803,1.10815,1.1073,1.10749,406
2016.07.12,17:15,1.10748,1.10748,1.10719,1.10729,288
2016.07.12,17:20,1.10728,1.10769,1.10709,1.1074,321
2016.07.12,17:25,1.1074,1.10752,1.10715,1.10715,217
2016.07.12,17:30,1.10714,1.10735,1.10692,1.10702,282
2016.07.12,17:35,1.10702,1.10727,1.10684,1.10726,224
2016.07.12,17:40,1.10725,1.10727,1.10718,1.10724,192
2016.07.12,17:45,1.10724,1.10724,1.10697,1.1071,269
2016.07.12,17:50,1.10709,1.10746,1.10707,1.1073,331
2016.07.12,17:55,1.1073,1.10756,1.10718,1.10744,327
2016.07.12,18:00,1.10739,1.10742,1.10645,1.10661,540
2016.07.12,18:05,1.10661,1.10679,1.10653,1.10665,371
2016.07.12,18:10,1.10664,1.10667,1.10643,1.10666,209
2016.07.12,18:15,1.10666,1.10695,1.10663,1.1068,236
2016.07.12,18:20,1.1068,1.10696,1.10671,1.10672,227
2016.07.12,18:25,1.10672,1.10701,1.10672,1.10692,272
2016.07.12,18:30,1.10691,1.10691,1.10673,1.10683,224
2016.07.12,18:35,1.10684,1.10696,1.10682,1.10694,185
2016.07.12,18:40,1.10694,1.10698,1.1067,1.10674,192
2016.07.12,18:45,1.10674,1.10696,1.10671,1.10685,185
2016.07.12,18:50,1.10686,1.10702,1.10685,1.10693,203
2016.07.12,18:55,1.10694,1.10696,1.10667,1.10685,472
2016.07.12,19:00,1.10684,1.10697,1.10645,1.10668,336
2016.07.12,19:05,1.10669,1.1067,1.1062,1.1062,288
2016.07.12,19:10,1.10621,1.10637,1.10605,1.10617,336
2016.07.12,19:15,1.10616,1.10646,1.10616,1.10628,196
2016.07.12,19:20,1.10631,1.1066,1.10618,1.10652,247
2016.07.12,19:25,1.10652,1.10665,1.10634,1.10664,421
2016.07.12,19:30,1.10665,1.10665,1.10635,1.10639,284
2016.07.12,19:35,1.10638,1.10657,1.10631,1.10644,216
2016.07.12,19:40,1.10643,1.10646,1.10628,1.10644,197
2016.07.12,19:45,1.10646,1.10647,1.10625,1.10644,226
2016.07.12,19:50,1.10644,1.10675,1.10625,1.10625,260
